"Name of Satellite, Alternate Names",Country of Owner,Owner,Users,Purpose,Class of Orbit,Date of Launch,Launch Site,Coordinates,Launch Vehicle
AsiaSat-5,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,11-08-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane
"AMC-2 (Americom 2, GE-2)",USA,SES World Skies,Commercial,Communications,GEO,30-01-97,Guiana Space Center,5.2079;-52.7724,Falcon 9
NSS-806 (Intelsat 806),Netherlands,SES/Intelsat (SES [Société Européenne des Satellites (SES)]) (shared capacity),Commercial,Communications,GEO,19-02-98,Guiana Space Center,5.2079;-52.7724,Falcon 9
Superbird-B2 (Superbird 4),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,18-02-00,Guiana Space Center,5.2079;-52.7724,Falcon 9
"JCSat 110 (N-Sat-110, Superbird-D, Superbird-5, N-Sat-110)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,07-10-00,Guiana Space Center,5.2079;-52.7724,Falcon 9
"JCSat 2A (JCSAT 8, Japan Communications Satellite 8)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,29-03-02,Guiana Space Center,5.2079;-52.7724,Falcon 9
Anik F1 ,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,21-11-00,Guiana Space Center,5.2079;-52.7724,Falcon 9
Sicral 1A ,Italy,Italian Defense Ministry,Military,Communications,GEO,07-02-01,Guiana Space Center,5.2079;-52.7724,Falcon 9
Skynet 4E ,United Kingdom,Ministry of Defence,Military,Communications,GEO,26-02-99,Guiana Space Center,5.2079;-52.7724,Falcon 9
Skynet 4F ,United Kingdom,Ministry of Defence,Military,Communications,GEO,07-02-01,Guiana Space Center,5.2079;-52.7724,Falcon 9
DirecTV-4S ,USA,"DirecTV, Inc.",Commercial,Communications,GEO,27-11-01,Guiana Space Center,5.2079;-52.7724,Falcon 9
Telstar 12 (Orion 2),France,Eutelsat -- leased from Loral Skynet Satellite Services (Loral Global Alliance) ,Commercial,Communications,GEO,19-10-99,Guiana Space Center,5.2079;-52.7724,Falcon 9
Intelsat 702 ,USA,"Intelsat, S.A.",Commercial,Communications,GEO,17-06-94,Guiana Space Center,5.2079;-52.7724,Falcon 9
"Intelsat 12 (Europe*Star 1, Europe*Star FM1, IS-12, PAS-12)",USA,"Intelsat, S.A.",Commercial,Communications,GEO,29-10-00,Guiana Space Center,5.2079;-52.7724,Falcon 9
"AMC-4 (Americom-4, GE-4)",USA,SES World Skies,Commercial,Communications,GEO,13-11-99,Guiana Space Center,5.2079;-52.7724,Falcon 9
Brazilsat B-3 (Brasilsat B-3),Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,04-02-98,Guiana Space Center,5.2079;-52.7724,Falcon 9
Brazilsat B-4 (Brasilsat B-4),Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,17-08-00,Guiana Space Center,5.2079;-52.7724,Falcon 9
Nilesat 102 ,Egypt,Egyptian Radio and TV Union ,Government,Communications,GEO,17-08-00,Guiana Space Center,5.2079;-52.7724,Falcon 9
Skynet 4C ,United Kingdom,Intelsat/Paradigm Secure Communications (wholly owned by EADS Astrium),Military,Communications,GEO,30-08-90,Guiana Space Center,5.2079;-52.7724,Falcon 9
Brazilsat B-2 (Brasilsat B-2),Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Military/Commercial,Communications,GEO,28-03-95,Guiana Space Center,5.2079;-52.7724,Falcon 9
Telkom 1 ,Indonesia,PT Telkomunikasi,Commercial,Communications,GEO,12-08-99,Guiana Space Center,5.2079;-52.7724,Falcon 9
XMM Newton (High Throughput X-ray Spectroscopy Mission),Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada,European Space Operations Centre (ESOC),Government,Space Science,Elliptical,10-12-99,Guiana Space Center,5.2079;-52.7724,Falcon 9
HYLAS 1 (Highly Adaptable Satellite),United Kingdom,"Avanti Communications, PLC",Commercial,Communications,GEO,26-11-10,Guiana Space Center,5.2079;-52.7724,Falcon 9
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M, Eutelsat 48D)",France,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,20-12-08,Guiana Space Center,5.2079;-52.7724,Falcon 9
"Eutelsat 33C (Eutelsat 28A, Eurobird 1, Eurosat 1)",France,Eutelsat S.A.,Commercial,Communications,GEO,08-03-01,Guiana Space Center,5.2079;-52.7724,Falcon 9
"Eutelsat 5 West-A (Atlantic Bird 3, Stellat 5)",France,Eutelsat S.A.,Commercial,Communications,GEO,05-07-02,Guiana Space Center,5.2079;-52.7724,Falcon 9
"Eutelsat 33A (Eurobird 3, E-bird) ",France,Eutelsat S.A.,Commercial,Communications,GEO,27-09-03,Guiana Space Center,5.2079;-52.7724,Falcon 9
"Eutelsat 9A (Eurobird 9A, Hot Bird 7A)",France,Eutelsat S.A.,Commercial,Communications,GEO,11-03-06,Guiana Space Center,5.2079;-52.7724,Falcon 9
Eutelsat Hot Bird 13C (Hot Bird 9),France,Eutelsat S.A.,Commercial,Communications,GEO,20-12-08,Guiana Space Center,5.2079;-52.7724,Falcon 9
Eutelsat 65 West-A,France,Eutelsat S.A.,Commercial,Communications,GEO,09-03-16,Guiana Space Center,5.2079;-52.7724,Falcon 9
Eutelsat 8 West B,France/Egypt,Eutelsat S.A./Nilesat,Commercial,Communications,GEO,20-08-15,Guiana Space Center,5.2079;-52.7724,Falcon 9
Amazonas-2,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,01-10-09,Guiana Space Center,5.2079;-52.7724,Falcon 9
Hispasat 1E,Spain,Hispasat,Commercial,Communications,GEO,29-12-10,Guiana Space Center,5.2079;-52.7724,Falcon 9
Horizons 2,USA/Japan,"Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)",Commercial,Communications,GEO,21-12-07,Guiana Space Center,5.2079;-52.7724,GSLV
Intelsat 17 (IS-17),USA,"Intelsat, S.A.",Commercial,Communications,GEO,26-11-10,Guiana Space Center,5.2079;-52.7724,GSLV
Intelsat New Dawn (Intelsat 28),USA,"Intelsat, S.A.",Commercial,Communications,GEO,22-04-11,Guiana Space Center,5.2079;-52.7724,GSLV D2
Intelsat 34,USA,"Intelsat, S.A.",Commercial,Communications,GEO,20-08-15,Guiana Space Center,5.2079;-52.7724,GSLV F04
Intelsat 29E,USA,"Intelsat, S.A.",Commercial,Communications,GEO,27-01-16,Guiana Space Center,5.2079;-52.7724,H2A
Koreasat 6 (Mugungwha 6),South Korea,KT Corporation,Commercial,Communications,GEO,29-12-10,Guiana Space Center,5.2079;-52.7724,H2A
Optus D2,Australia,Optus Communications (Parent: Singapore Telecom),Commercial,Communications,GEO,05-10-07,Guiana Space Center,5.2079;-52.7724,H2A
Optus D3,Australia,Optus Communications (Parent: Singapore Telecom),Commercial,Communications,GEO,21-08-09,Guiana Space Center,5.2079;-52.7724,H2A
Galaxy-12,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,09-04-03,Guiana Space Center,5.2079;-52.7724,H2A
Galaxy-15,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,13-10-05,Guiana Space Center,5.2079;-52.7724,H2A
"Intelsat 1R (IS-1R, PAS-1R, PanAmSat 1R)",USA,"PanAmSat (Intelsat, S.A.)",Commercial,Communications,GEO,15-11-00,Guiana Space Center,5.2079;-52.7724,H2A
Intelsat 11 (PAS 11),USA,"PanAmSat (Intelsat, S.A.)",Commercial,Communications,GEO,05-10-07,Guiana Space Center,5.2079;-52.7724,H2A
Rascom-QAF 1R,South Africa/Algeria/Angola/Benin/Burkina Faso/Burundi/Cameroon/Green Cap/Comores/Congo/Ivory Coast/Djibouti/Egypt/Eritrea/Ethiopia/Gabon/Gambia/Ghana/Guinea/Guinea-Bissau/Mauritius/Kenya/Liberia/Lesotho/Libya/Malawi/Mali/Mauritania/Mozambique/Namibia/Niger/Nigeria/Uganda/Central African Republic/Democratic Republic of Congo/Senegal/Sierra Leone/Sudan/Swaziland/Tanzania/Chad/Togo/Tunisia/Zambia/Zimbabwe,Regional African Satellite Communications Organization (RASCOM),Commercial,Communications,GEO,04-08-10,Guiana Space Center,5.2079;-52.7724,H2A
NSS-12,Netherlands,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,29-10-09,Guiana Space Center,5.2079;-52.7724,H2A
AMC-18 (Americom 18),USA,SES World Skies,Commercial,Communications,GEO,08-12-06,Guiana Space Center,5.2079;-52.7724,H2A
ST-2 (Singapore-Taiwan 2),Singapore/Taiwan,Singapore Telecommunications Ltd. (SingTel)/Chunghwa Telecom Co. Ltd.,Commercial,Communications,GEO,20-05-11,Guiana Space Center,5.2079;-52.7724,H2A
N-Star C ,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,05-07-02,Guiana Space Center,5.2079;-52.7724,H2A
"JCSat 10 (Japan Communications Satellite 10, JCSat 3A)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,11-08-06,Guiana Space Center,5.2079;-52.7724,H2A
"JCSat RA (JCSat 12, Japan Communications Satellite 12)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,21-08-09,Guiana Space Center,5.2079;-52.7724,H2A
Star One C1,Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,14-11-07,Guiana Space Center,5.2079;-52.7724,H2A
Thor-6,Norway,Telenor Satellite Broadcasting,Commercial,Communications,GEO,29-10-09,Guiana Space Center,5.2079;-52.7724,H-2A
Thor-7,Norway,Telenor Satellite Broadcasting,Commercial,Communications,GEO,26-04-15,Guiana Space Center,5.2079;-52.7724,H-2A
Anik F2 ,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,18-07-04,Guiana Space Center,5.2079;-52.7724,H-2A
WildBlue 1,USA,WildBlue Communications,Commercial,Communications,GEO,08-12-06,Guiana Space Center,5.2079;-52.7724,H-2A
Badr 7 (Arabsat 6B),Saudi Arabia/Kuwait/Libya/Qatar/United Arab Emirates/Jordan/Lebanon/Bahrain/Syria/Iraq/Algeria/Yemen/Egypt/Oman/Tunisia/Morocco/Sudan/Mauritania/Palestinian Authority/Somalia/Djibouti,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,10-11-15,Guiana Space Center,5.2079;-52.7724,H-2A
Nilesat 201,Egypt,Egyptian Radio and TV Union ,Government,Communications,GEO,04-08-10,Guiana Space Center,5.2079;-52.7724,H-2A
GSAT-10,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,28-09-12,Guiana Space Center,5.2079;-52.7724,H-2A
GSAT-15,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,10-01-15,Guiana Space Center,5.2079;-52.7724,H-2A
COMSATBw-1 (COmmunications SATellite für BundesWehr),Germany,Armed Forces,Military,Communications,GEO,01-10-09,Guiana Space Center,5.2079;-52.7724,H-2A
COMSATBw-2 (COmmunications SATellite für BundesWehr),Germany,Armed Forces,Military,Communications,GEO,21-05-10,Guiana Space Center,5.2079;-52.7724,H-2A
Syracuse 3A (Systeme de Radio Communications Utilisant un Satellite),France,Defense Ministry,Military,Communications,GEO,13-10-05,Guiana Space Center,5.2079;-52.7724,H-2A
Syracuse 3B (Systeme de Radio Communications Utilisant un Satellite),France,Defense Ministry,Military,Communications,GEO,11-08-06,Guiana Space Center,5.2079;-52.7724,H-2A
Spainsat,Spain,Hisdesat/Ministry of Defense,Military,Communications,GEO,11-03-06,Guiana Space Center,5.2079;-52.7724,H-2A
Sicral 2/Syracuse 3C,France/Italy,Italian Defense Ministry/French Defense Ministry,Military,Communications,GEO,26-04-15,Guiana Space Center,5.2079;-52.7724,H-2A
Skynet 5B,United Kingdom,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),Military,Communications,GEO,14-11-07,Guiana Space Center,5.2079;-52.7724,H-2A
Yahsat-1A (Y1A),United Arab Emirates,Al Yah Satellite Communications Company (YAHSAT),Military/Commercial,Communications,GEO,22-04-11,Guiana Space Center,5.2079;-52.7724,H-2A
GSAT-8,India,Indian Space Research Organization (ISRO),Government,Communications/Navigation,GEO,20-05-11,Guiana Space Center,5.2079;-52.7724,H-II2
INSAT 3A (Indian National Satellite),India,Indian Space Research Organization (ISRO),Government,Earth Observation,GEO,09-04-03,Guiana Space Center,5.2079;-52.7724,JAXA M-V
Meteosat 7 (MTP 1) ,Austria/Belgium/Bulgaria/Croatia/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Iceland/Ireland/Italy/Latvia/Lithuania/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Slovak Republic/Slovenia/Spain/Sweden/Switzerland/Turkey/United Kingdom,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,GEO,02-09-97,Guiana Space Center,5.2079;-52.7724,Kosmos 3M
"Meteosat 8 (MSGalaxy-1, MSG-1)",Austria/Belgium/Bulgaria/Croatia/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Iceland/Ireland/Italy/Latvia/Lithuania/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Slovak Republic/Slovenia/Spain/Sweden/Switzerland/Turkey/United Kingdom,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,GEO,21-08-02,Guiana Space Center,5.2079;-52.7724,Kosmos 3M
Helios 2B,France/Italy/Belgium/Spain/Greece,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Military,Earth Observation,LEO,18-12-09,Guiana Space Center,5.2079;-52.7724,Kosmos 3M
SPIRALE-A (Système Préparatoire Infra-Rouge pour l'Alerte),France,Ministry of Defense/General Delegation for Ordnance (DGA),Military,Technology Development,Elliptical,11-02-09,Guiana Space Center,5.2079;-52.7724,Kosmos 3M
SPIRALE-B (Système Préparatoire Infra-Rouge pour l'Alerte),France,Ministry of Defense/General Delegation for Ordnance (DGA),Military,Technology Development,Elliptical,11-02-09,Guiana Space Center,5.2079;-52.7724,Kosmos 3M
ArSat 1,Argentina,ArSat,Commercial,Communications,GEO,16-10-14,Guiana Space Center,5.2079;-52.7724,Kosmos 3M
ArSat 2,Argentina,ArSat,Commercial,Communications,GEO,30-09-15,Guiana Space Center,5.2079;-52.7724,Kosmos 3M
HYLAS 2 (Highly Adaptable Satellite),United Kingdom,"Avanti Communications, PLC",Commercial,Communications,GEO,02-08-12,Guiana Space Center,5.2079;-52.7724,Kosmos 3M
BRISat,Indonesia,Bank Rakyat Indonesia (BRI),Commercial,Communications,GEO,19-06-16,Guiana Space Center,5.2079;-52.7724,Kosmos 3M
BSAT-3A,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,GEO,14-08-07,Guiana Space Center,5.2079;-52.7724,Kosmos 3M
BSAT-3B,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,GEO,28-10-10,Guiana Space Center,5.2079;-52.7724,Kosmos 3M
BSAT-3C/JCSat 110-R,Japan,Broadcasting Satellite System Corp./Sky Perfect JSAT Corporation,Commercial,Communications,GEO,06-08-11,Guiana Space Center,5.2079;-52.7724,Kosmos 3M
Spaceway F2,USA,"DirecTV, Inc.",Commercial,Communications,GEO,16-11-05,Guiana Space Center,5.2079;-52.7724,Kosmos 3M
DirecTV-9S,USA,"DirecTV, Inc.",Commercial,Communications,GEO,13-10-06,Guiana Space Center,5.2079;-52.7724,Kosmos 3M
DirecTV-14,USA,"DirecTV, Inc.",Commercial,Communications,GEO,06-12-14,Guiana Space Center,5.2079;-52.7724,Kosmos 3M
DirecTV-15,USA,"DirecTV, Inc.",Commercial,Communications,GEO,27-05-15,Guiana Space Center,5.2079;-52.7724,Kosmos 3M
Echostar 17,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,05-07-12,Guiana Space Center,5.2079;-52.7724,Kosmos 3M
Echostar 18,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,19-06-16,Guiana Space Center,5.2079;-52.7724,Kosmos 3M
Eutelsat 113 West-A (Satmex 6),USA,Eutelsat Americas,Commercial,Communications,GEO,27-05-06,Guiana Space Center,5.2079;-52.7724,Kuaizhou
"Eutelsat Hot Bird  13D (Eutelsat 3C, Hot Bird 10, Atlantic Bird 4A)",France,Eutelsat S.A.,Commercial,Communications,GEO,11-02-09,Guiana Space Center,5.2079;-52.7724,L1011
"Eutelsat 48B (Eutelsat 21B, Eutelsat W-6A)",France,Eutelsat S.A.,Commercial,Communications,GEO,10-11-12,Guiana Space Center,5.2079;-52.7724,Long March 11
Eutelsat 25B (Es’hail 1),France/Qatar,Eutelsat S.A./Es'hailSat,Commercial,Communications,GEO,29-08-13,Guiana Space Center,5.2079;-52.7724,Long March 11
Amazonas-3,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,07-02-13,Guiana Space Center,5.2079;-52.7724,Long March 11
Amazonas-4A,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,22-03-14,Guiana Space Center,5.2079;-52.7724,Long March 11
Spaceway 3,USA,Hughes Network Systems,Commercial,Communications,GEO,14-08-07,Guiana Space Center,5.2079;-52.7724,Long March 2C
Galaxy-17,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,04-05-07,Guiana Space Center,5.2079;-52.7724,Long March 2C
"Intelsat 25 (IS-25, Protostar 1, Chinasat 8)",USA,"Intelsat, S.A.",Commercial,Communications,GEO,07-07-08,Guiana Space Center,5.2079;-52.7724,Long March 2C
Intelsat 20 (IS-20),USA,"Intelsat, S.A.",Commercial,Communications,GEO,02-08-12,Guiana Space Center,5.2079;-52.7724,Long March 2C
Intelsat 30/DLA 1,USA,"Intelsat, S.A.",Commercial,Communications,GEO,16-10-14,Guiana Space Center,5.2079;-52.7724,Long March 2C
Measat 3B (Malaysia East Asia Sat 3B),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,11-09-14,Guiana Space Center,5.2079;-52.7724,Long March 2C
NBN-1A (Sky Muster),Australia,NBN Co (operated by Optus),Commercial,Communications,GEO,30-09-15,Guiana Space Center,5.2079;-52.7724,Long March 2C
Optus D1 ,Australia,Optus Communications (Parent: Singapore Telecom),Commercial,Communications,GEO,13-10-06,Guiana Space Center,5.2079;-52.7724,Long March 2C
Optus 10,Australia,Optus Communications (Parent: Singapore Telecom),Commercial,Communications,GEO,11-09-14,Guiana Space Center,5.2079;-52.7724,Long March 2C
Telkom 2,Indonesia,PT Telkomunikasi,Commercial,Communications,GEO,16-11-05,Guiana Space Center,5.2079;-52.7724,Long March 2C
Astra 1L,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,04-05-07,Guiana Space Center,5.2079;-52.7724,Long March 2C
Astra 3B,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,21-05-10,Guiana Space Center,5.2079;-52.7724,Long March 2C
Astra 1N,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,06-08-11,Guiana Space Center,5.2079;-52.7724,Long March 2C
Astra 2F,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,28-09-12,Guiana Space Center,5.2079;-52.7724,Long March 2C
Astra 5B,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,22-03-14,Guiana Space Center,5.2079;-52.7724,Long March 2C
NSS-9,Netherlands,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,11-02-09,Guiana Space Center,5.2079;-52.7724,Long March 2C
AMC-21 (Americom 21),USA,SES World Skies,Commercial,Communications,GEO,14-08-08,Guiana Space Center,5.2079;-52.7724,Long March 2C
SES-2,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,21-09-11,Guiana Space Center,5.2079;-52.7724,Long March 2C
Sky Mexico-1,Mexico,Sky Mexico,Commercial,Communications,GEO,27-05-15,Guiana Space Center,5.2079;-52.7724,Long March 2C
Superbird 7 (Superbird C2),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,14-08-08,Guiana Space Center,5.2079;-52.7724,Long March 2C
JCSat 13 (Japan Communications Satellite 13),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,15-05-12,Guiana Space Center,5.2079;-52.7724,Long March 2C
Star One C2,Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,18-04-08,Guiana Space Center,5.2079;-52.7724,Long March 2C
Star One C3,Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,10-11-12,Guiana Space Center,5.2079;-52.7724,Long March 2C
Star One C4,Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,15-07-15,Guiana Space Center,5.2079;-52.7724,Long March 2C
TerraStar 1,USA,TerraStar Corporation,Commercial,Communications,GEO,01-07-09,Guiana Space Center,5.2079;-52.7724,Long March 2C
Thaicom-5,Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,GEO,27-05-06,Guiana Space Center,5.2079;-52.7724,Long March 2C
Turksat 3A,Turkey,Turksat,Commercial,Communications,GEO,12-06-08,Guiana Space Center,5.2079;-52.7724,Long March 2C
Badr 6 (Arabsat 4AR),Saudi Arabia/Kuwait/Libya/Qatar/United Arab Emirates/Jordan/Lebanon/Bahrain/Syria/Iraq/Algeria/Yemen/Egypt/Oman/Tunisia/Morocco/Sudan/Mauritania/Palestinian Authority/Somalia/Djibouti,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,07-07-08,Guiana Space Center,5.2079;-52.7724,Long March 2C
Badr 5A (Arabsat 5A),Saudi Arabia/Kuwait/Libya/Qatar/United Arab Emirates/Jordan/Lebanon/Bahrain/Syria/Iraq/Algeria/Yemen/Egypt/Oman/Tunisia/Morocco/Sudan/Mauritania/Palestinian Authority/Somalia/Djibouti,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,26-06-10,Guiana Space Center,5.2079;-52.7724,Long March 2C
INSAT 4B (Indian National Satellite),India,Indian Space Research Organization (ISRO),Government,Communications,GEO,11-03-07,Guiana Space Center,5.2079;-52.7724,Long March 2C
GSAT-16,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,06-12-14,Guiana Space Center,5.2079;-52.7724,Long March 2D
